Urban,POP2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
1,4333,1876,0,0,0,1,1,25.5,102813,1499,655,420,3528,81,138,4,32,550,663,156,94
1,4204,1712,0,0,0,0,1,58.4,25300,2882,561,135,2958,159,397,26,36,628,743,156,307
1,3304,1280,0,0,0,0,0,12.2,78523,1083,719,334,2836,29,97,7,58,277,404,45,26
1,3130,995,0,942,0.3009585,0,1,50,64125,1616,221,127,2683,60,60,7,25,295,382,44,95
1,4217,1504,0,339,0.0803889,0,1,59.8,20781,3243,560,91,2950,202,385,14,40,626,797,238,436
1,4694,2277,0,2,0.0004261,0,1,20.4,48017,2491,766,520,4003,73,138,18,42,420,488,79,183
1,5295,2191,0,17,0.0032106,1,0,12.9,63271,2537,1232,828,4697,74,126,4,53,341,505,146,141
1,2142,858,0,0,0,0,0,4.8,96908,212,480,243,1869,13,83,0,21,156,252,12,25
1,6117,2494,0,132,0.0215792,0,1,19.5,55938,2702,1464,677,4443,162,429,26,120,937,1224,236,222
1,6071,2527,0,296,0.0487564,1,0,8.8,90625,1043,1190,1277,5171,89,238,6,59,508,680,143,47
1,4801,2051,0,168,0.0349927,0,1,37.1,43043,2902,488,189,4065,62,75,5,50,544,754,125,241
1,4572,1643,0,390,0.0853018,1,1,46.9,53365,2299,399,361,3705,120,162,16,34,535,701,129,150
1,3556,1484,0,12,0.0033746,1,1,36.6,38710,2225,571,204,2961,41,99,3,48,404,519,216,117
1,4169,1385,0,293,0.0702806,1,1,45.3,29936,3032,1085,272,2669,100,377,12,188,823,1283,189,333
0,5797,2097,0,20,0.0034501,0,0,9.3,98405,1215,1396,796,5117,33,134,6,49,458,738,81,119
0,5297,2021,0,9,0.0016991,0,0,11.5,76518,1165,1278,729,4868,17,35,8,54,315,645,60,83
0,5266,2195,0,72,0.0136726,0,0,10.2,66964,1189,1056,713,4758,31,103,7,57,310,349,18,12
1,5739,2429,0,0,0,0,1,18.4,42143,1978,1091,1435,5315,23,42,6,75,278,385,46,254
1,2852,1212,0,0,0,0,1,9.9,47926,966,583,695,2621,9,26,4,29,163,195,87,106
0,3060,1261,0,0,0,0,1,19.4,52388,1251,615,555,2765,8,19,5,43,220,216,76,137
1,5640,2497,0,132,0.0234043,0,1,15.8,48347,2422,996,1451,5251,24,70,7,60,228,375,89,352
1,3373,1484,0,87,0.0257931,0,0,15,66667,993,547,966,3167,9,40,1,41,115,202,41,47
1,5184,2358,0,25,0.0048225,1,0,18.5,59922,2449,964,1197,4704,23,69,5,64,319,355,113,204
1,4599,2128,0,102,0.0221787,0,1,16.1,55873,1933,773,992,4174,32,73,2,70,248,389,164,169
0,5156,2366,0,21,0.0040729,1,0,19.1,56410,1683,877,1181,4722,23,53,16,47,295,376,228,170
0,5331,2374,0,60,0.0112549,0,1,21.3,46293,2395,863,1463,4895,15,72,4,70,275,346,62,198
0,5157,2280,0,0,0,0,1,25.3,42625,2259,738,1120,4507,33,52,23,187,355,372,79,244
0,4930,1490,0,618,0.125355,1,1,22.2,38639,2488,1459,363,3423,166,631,12,166,532,699,263,366
0,2324,1009,0,10,0.0043029,0,0,11.5,68902,481,395,651,2051,17,60,1,59,136,187,62,77
1,3455,1594,0,0,0,0,0,8,58611,861,489,1145,3089,24,73,8,65,196,260,66,101
1,5478,2111,0,164,0.0299379,1,1,20.1,59063,2351,1334,992,4675,63,159,16,199,366,498,143,300
1,4275,1774,0,46,0.0107602,1,1,33.3,34107,2670,1151,510,3304,129,176,14,170,482,572,366,502
1,3060,906,0,56,0.0183007,0,1,35.8,36497,2097,894,372,1887,25,746,7,105,290,350,62,282
1,3140,1045,0,21,0.0066879,0,1,45.1,28937,2772,919,348,1616,370,517,19,127,491,492,56,402
1,3531,1139,0,64,0.0181252,1,1,31,41996,2233,1052,340,2318,136,472,7,168,430,453,125,282
1,4396,1658,0,56,0.0127389,1,0,7.7,68115,1005,1025,907,3551,89,191,3,242,320,429,109,147
0,4234,1519,0,33,0.007794,1,1,28.7,43974,2183,1029,762,3001,28,175,2,198,830,1105,124,281
0,4852,1786,0,0,0,0,0,14.3,57287,1795,1098,844,3723,59,131,7,253,679,785,72,199
0,2956,1023,0,12,0.0040595,0,1,18,49265,1516,840,489,2157,8,92,0,48,651,1091,68,72
1,3222,1145,0,0,0,0,0,12,67963,909,867,467,2448,31,119,1,39,584,938,43,103
1,4758,1511,0,116,0.02438,0,1,23.1,43281,2575,1358,666,2970,34,157,3,91,1503,2421,76,265
0,3404,1166,0,0,0,0,0,19.3,58906,1392,915,439,2724,30,50,2,94,504,847,50,174
1,4505,1650,0,40,0.008879,1,1,28.2,40440,3110,1124,703,3282,42,540,30,199,412,501,129,302
0,4434,1769,0,0,0,0,0,8.4,73218,1080,929,812,3993,39,57,12,48,285,532,45,121
1,4463,1908,0,47,0.010531,0,0,14.8,73542,1303,909,990,3911,12,54,8,62,416,537,160,219
0,4046,1794,0,98,0.0242215,0,0,13.1,67368,1326,727,969,3665,47,22,12,40,260,399,110,216
0,9515,3537,0,7,0.0007357,0,0,13.9,78537,2547,2147,1625,8146,112,171,11,110,965,1263,99,245
1,5515,2029,0,9,0.0016319,0,0,6.7,63462,1452,1315,759,4831,49,92,12,95,436,675,40,68
0,6969,2953,0,330,0.0473526,0,0,9.9,59074,1510,1301,1586,6167,90,78,6,124,504,628,118,215
0,4032,1860,0,1,0.000248,1,1,23.1,46552,1597,603,992,3599,8,22,13,168,222,269,99,232
0,3332,1519,0,0,0,0,0,11,63807,1069,497,923,3133,15,33,2,23,126,207,37,85
0,2330,1072,0,0,0,0,0,7.9,79029,309,373,684,2193,10,26,2,17,82,134,18,56
